ts	phase	decision	why	evidence	result
2026-09-10T10:36:28.738942+00:00	foundation	Establish schema and contracts; isolated worktrees and actual GitHub captures	Shared contracts permit isolated concurrent implementation	AGENTS.md; fixtures/README.md	in-progress
2026-09-10T10:41:36Z	database	Pin ParadeDB and separate database roles	Search requires BM25 and read-only execution independent of ingestion	packages/db/migrations/0001_search_indexes_and_semantics.sql	open
2026-09-10T10:48:41Z	gia	Bootstrap the Runtime-accepted private source graph in ignored isolated clones	Existing SDK and Runtime working trees contain unrelated changes; public client is not released	.gia-sources.json	Bootstrap passed; local Runtime started on 8798
2026-09-10T10:48:42Z	ingestion	Require real database import before accepting the worker lane	Typechecking missed an untyped polymorphic SQL parameter	apps/worker/src/importer.ts	First import failed; source owner fixing explicit text casts
2026-09-10T10:52:19Z	database	Pass all 15 actual-data PostgreSQL integration cases	Prove data semantics, BM25, constraints, migration replay and reader isolation	tests/integration/database.integration.test.ts	pnpm test:integration: 15 passed
2026-09-10T10:54:32Z	ingestion	Fix profile update OR precedence and repair eight captured profiles	Independent source comparison found one profile overwriting earlier profiles; count-only checks missed it	apps/worker/src/importer.ts	All eight profiles reimported and compared to capture values; Gia evidence refresh required
2026-09-10T11:14:09Z	query	Keep exact golden expectations after four failures in thirteen real Gia cases	Source SQL showed concept meaning conflated with PR scope; changing the expected IDs would hide errors	tests/live/gia.live.test.ts	Initial cohort: 9/13 passed; four cases under repeated investigation
2026-09-10T11:14:09Z	authoring	Author general World descriptions for concept identity, scope, support and distinct project counts	Baseline repeated concept-scope cases were 0/15 while the count case was 5/5	gia/world.json	New snapshot published; treated runs pending
2026-09-10T11:14:09Z	web	Build and inspect the actual production interface	Verify live catalog, profiles, mobile layout and HTTP boundary without mocked responses	tests/browser/search.spec.ts	Production build passed; 3 nonpaid browser cases passed; 2 paid cases pending
2026-09-10T11:23:55Z	verification	Serialize admission against the database clock after acquiring the lock	A waiting transaction retained an older now() and missed an already admitted request	dda0240; tests/integration/search.integration.test.ts	30/30 PostgreSQL integration tests passed, including ten repeated connection races
2026-09-10T11:24:34Z	web	Complete the production browser workflow against the real backend	The UI must prove correct people, source context, empty results and HTTP rejection through actual requests	tests/browser/search.spec.ts	5/5 Playwright cases passed, including both paid Gia searches
2026-09-10T11:37:19Z	distribution	Verify public and private-access installation from independent source copies	A working checkout can hide missing dependencies or external symlink targets	.data/distribution-proof/evidence/summary.json; .data/public-ci-proof	Public install and static checks passed; full independent build and exact10-person Gia query passed; private proof trees removed
2026-09-10T11:37:19Z	authoring	Model concept vocabulary as bounded strings and author evidence scope distinctions	TEXT omitted real concept values from planning; nullable PR and repository keys require different join routes	packages/db/migrations/0002_bounded_concept_vocabulary.sql; gia/world.json	Vocabulary treatment: four targeted questions5/5 each; membership scope remained0/5; new distinction treatment pending
2026-09-10T11:37:20Z	review	Address independent gpt-5.5 review findings and retain actual quota history	Full CI must scan locally minted credentials; browser startup docs must match commands; actual paid calls must remain counted	.github/workflows/live.yml; scripts/check-release.mjs; docs/web.md; docs/deployment.md	Public-install concern disproved by clean install; release artifacts staged; semantic evaluation still in progress
2026-09-10T11:39:45Z	query	Accept the rendered distinction between repository and PR evidence keys	The previous planner route joined a NULL PR identity and incorrectly returned no contributors	gia/world.json; docs/gia.md	Current snapshot91a32b7f passed13/13 unchanged goldens and15/15 focused repeated cases
2026-09-10T11:39:46Z	ingestion	Recheck live GitHub and bounded model enrichment from the final application	Captured records alone do not prove current API or provider compatibility	tests/live/github.live.test.ts	3/3 live cases passed including one actual enrichment call and zero-call cached replay
2026-09-10T11:43:50Z	ci	Require TCP readiness before provisioning a fresh PostgreSQL container	The first public CI run connected during PostgreSQL temporary initialization and lost the connection	https://github.com/usegia/gia-github/actions/runs/34472521830; compose.yaml	Fresh isolated volume on55449 provisioned and30/30 integration tests passed underNode26; proof container and volume removed
2026-09-10T11:43:50Z	hybrid	Declare actual BM25 key and searchable field through supported Gia authoring	The pinned planner requires explicit index metadata in table descriptions	gia/world.json; tests/live/gia.live.test.ts	Normal service returned exactanbuzin; exact signed ticket contained BM25 plus follower and merged-PR predicates; final14 cohort pending
2026-09-10T11:52:33Z	publication	Publish the application repository and verify automatic public CI	The public source must install and pass real PostgreSQL contracts in a fresh Linux runner	https://github.com/usegia/gia-github/actions/runs/34473060778; audit/distribution-proof.json	Public data integration passed onf90fa25; fullprovider workflow remains credential-gated; stronger planner selection under independent owner implementation
2026-09-10T12:15:36Z	delivery	Pin merged Runtime main and harden owned process startup	Preserve source identity and recover safely when another process occupies the port	.gia-sources.json; scripts/gia/runtime.mjs; tests/live/runtime.live.test.ts	30 PostgreSQL integration cases, 1 real Runtime collision case, typechecks, production build, and 14 real Gia questions passed; gpt-5.5 found no blocking launcher issue
2026-09-10T12:15:36Z	benchmark	Retain Terra none and start the user-requested Gemini low comparison	Terra medium showed no accuracy gain and increased repeated OR median latency from 3.3 seconds to 23.1 seconds	audit/query-evaluations.json; https://ai.google.dev/gemini-api/docs/models/gemini-3.8-flash	All historical failures retained; Gemini 3.8 Flash availability and low reasoning verified; matched-source control and candidate implementation in progress
